model,dataset,recall@1,recall@5,recall@10,flops,memory
DINOv2-SALAD,Pitts30k,93.73532863849763,97.03638497652582,97.931338028169,108022755840.0,181.59210205078125
CosPlace,Pitts30k,90.6836854460094,95.29049295774648,96.47887323943662,42714791937.0,52.84192085266113
CosPlace,MSLS,84.18440996030314,90.52688560086612,92.286178274991,42714791937.0,52.84192085266113
EigenPlaces,Pitts30k,92.51760563380282,96.55223004694837,97.59389671361502,42714791937.0,52.84192085266113
EigenPlaces,MSLS,85.55575604474919,91.131360519668,92.66510285095634,42714791937.0,52.84192085266113
DINOv2-BoQ,Pitts30k,92.38556338028168,96.30281690140843,97.3738262910798,101830146185.0,167.83044624328613
DINOv2-BoQ,MSLS,88.19920606279321,93.75676651028508,95.10104655359076,101830146185.0,167.83044624328613
MixVPR,Pitts30k,91.63732394366195,95.53990610328638,96.34683098591547,16844390400.0,20.75366973876953
MixVPR,MSLS,83.4085167809455,90.14796102490077,91.934319740166,16844390400.0,20.75366973876953
DINOv2-SALAD,MSLS,89.94045470949116,94.3071093468062,95.40779501984844,108022755840.0,181.59210205078125
DINOv2-SALAD,Tokyo247,96.5079365079365,97.77777777777776,98.73015873015872,108022755840.0,181.59210205078125
DINOv2-SALAD,Eynsham,92.1955295592229,95.6089408815542,96.40693545017756,108022755840.0,181.59210205078125
CosPlace,Tokyo247,84.12698412698413,91.11111111111111,94.28571428571428,42714791937.0,52.84192085266113
CosPlace,Eynsham,90.59536243994152,94.3263003969083,95.35826195947358,42714791937.0,52.84192085266113
EigenPlaces,Tokyo247,87.61904761904762,93.65079365079364,95.87301587301587,42714791937.0,52.84192085266113
EigenPlaces,Eynsham,91.05076248172132,94.61458115730105,95.65072070190098,42714791937.0,52.84192085266113
DINOv2-BoQ,Tokyo247,94.28571428571428,97.77777777777776,98.09523809523807,101830146185.0,167.83044624328613
DINOv2-BoQ,Eynsham,91.58554418216002,95.0574472529768,95.93064549822437,101830146185.0,167.83044624328613
MixVPR,Tokyo247,86.66666666666667,93.33333333333331,94.6031746031746,16844390400.0,20.75366973876953
MixVPR,Eynsham,89.53415500313349,93.2024232295801,94.343012325047,16844390400.0,20.75366973876953
DINOv2-SALAD,SVOX-night,97.81287970838396,99.51397326852975,99.87849331713244,108022755840.0,181.59210205078125
DINOv2-SALAD,SVOX-sun,97.65807962529274,99.41451990632318,99.41451990632318,108022755840.0,181.59210205078125
DINOv2-SALAD,SVOX-snow,99.42528735632185,99.6551724137931,99.88505747126436,108022755840.0,181.59210205078125
DINOv2-SALAD,SVOX-overcast,98.5091743119266,99.31192660550458,99.42660550458714,108022755840.0,181.59210205078125
CosPlace,SVOX-night,48.60267314702308,66.34264884568651,73.63304981773997,42714791937.0,52.84192085266113
CosPlace,SVOX-sun,76.93208430913349,88.75878220140515,92.62295081967213,42714791937.0,52.84192085266113
CosPlace,SVOX-snow,90.3448275862069,97.93103448275862,98.5057471264368,42714791937.0,52.84192085266113
CosPlace,SVOX-overcast,91.39908256880734,97.13302752293578,98.27981651376146,42714791937.0,52.84192085266113
EigenPlaces,SVOX-night,59.78128797083839,77.64277035236938,83.35358444714458,42714791937.0,52.84192085266113
EigenPlaces,SVOX-sun,85.24590163934425,93.55971896955504,95.90163934426228,42714791937.0,52.84192085266113
EigenPlaces,SVOX-snow,91.49425287356324,97.35632183908046,97.816091954023,42714791937.0,52.84192085266113
EigenPlaces,SVOX-overcast,92.54587155963304,97.13302752293578,98.1651376146789,42714791937.0,52.84192085266113
DINOv2-BoQ,SVOX-night,95.3827460510328,99.27095990279466,99.3924665856622,101830146185.0,167.83044624328613
DINOv2-BoQ,SVOX-sun,97.07259953161592,99.53161592505856,99.64871194379393,101830146185.0,167.83044624328613
DINOv2-BoQ,SVOX-snow,98.73563218390804,99.6551724137931,99.77011494252874,101830146185.0,167.83044624328613
DINOv2-BoQ,SVOX-overcast,98.27981651376146,99.31192660550458,99.31192660550458,101830146185.0,167.83044624328613
MixVPR,SVOX-night,61.72539489671932,79.10085054678008,83.23207776427704,16844390400.0,20.75366973876953
MixVPR,SVOX-sun,85.36299765807962,92.85714285714286,94.73067915690866,16844390400.0,20.75366973876953
MixVPR,SVOX-snow,97.01149425287356,98.27586206896552,98.5057471264368,16844390400.0,20.75366973876953
MixVPR,SVOX-overcast,96.21559633027525,98.05045871559632,98.96788990825688,16844390400.0,20.75366973876953
DINOv2-SALAD,SVOX-rain,98.71931696905015,99.57310565635004,99.78655282817502,108022755840.0,181.59210205078125
CosPlace,SVOX-rain,85.05869797225186,94.13020277481324,96.37139807897546,42714791937.0,52.84192085266113
EigenPlaces,SVOX-rain,88.0469583778015,95.62433297758804,96.9050160085379,42714791937.0,52.84192085266113
DINOv2-BoQ,SVOX-rain,98.5058697972252,99.67982924226254,99.89327641408752,101830146185.0,167.83044624328613
MixVPR,SVOX-rain,91.9957310565635,96.69156883671292,98.07897545357524,16844390400.0,20.75366973876953
